sentence 	 E 	 alpha 	 beta 	 gamma 	 delta 	 epsilon	natorcong
avis açvaːska avis kahja vr̩naː na aːst açvans spaçat ainam garum vagʱam vagʱantam ainamka magʱam bʱaram ainamka gʱamanam aːçu bʱarantam avis nu açvabʱjas avaukat gʱr̩d agʱnutai mai açvans aɟantam vʃram vidanti açvaːs tu avaukant srudʱi avi gʱr̩d agʱnutai asmai vidantbʱjas nar patis avjamr̩ vr̩naːm svabʱi gʱarmam vastram kr̩nauti avjamka vr̩naː na asti tat sasruvas avis aɟram abʱugat	90.02066350224169	5.2631578947368425	17.543859649122805	10.08267795926598	58.333333333333336	1	1
owis ikʷoiqe owis qeho laːnaː ne eːst ikʷos speket enon barun wokʰon wekʰontã enonqe megaːn pʰoron enonqe kʰtʰonon oːku pʰerontã owis nu ikʷobos eweweqet kard akʰnutoi moi ikʷos agontã wiron widãtei ikʷoi tu eweweqont klutʰi owi kart agnutoi ahma widãtbios aner potsis owjonar laːnaːn sepʰi tʰermon westron qerneuti owjonqe laːnaː ne esti tot kekluwos owis agron epʰuget	89.35360825695396	4.982456140350878	5.263157894736842	2.9038112522686026	54.929577464788736	1	1
owi jukweɲke owi kuse wlana ne es jukwes ɕpɨkɨt enem karɨm wakm̩ wɨkantɨm enemke mɨkam parm enemke tkamnam akɨ pɨrantɨm owi nɨ jukwebos wɨwkɨt kɨrt agnɨtai me jukwes akantɨn wirem witsante jukweɲ tɨ wɨwkant kluti ow kɨrt aknete ansme witɨntbe nɨr pats owjapɨr wlanam sɨpi sɨrmam wɨstram kɨrnoiti owjapke wlana nɨ esti tɨ kɨklewe owi akre bekɨt	71.55665036189939	5.017543859649122	10.526315789473683	8.892921960072595	59.09090909090909	1	1
bagu ʕai̯ru̯da bagu ma hai̯i t͡ʃaʕara i̯araˀi̯ ʕai̯ar i̯ak’ul tu t͡ʃai̯ˀa k’uriː i̯aʒub tu k’ama gadiː tu nasa pidiʃ i̯akau̯ˀ bagu ʕai̯ar i̯adum ani libbu raˀi̯i i̯ahim nasu ʕai̯ar i̯akau̯ˀu̯ ʕai̯ru̯ gur baga i̯adum nu̯ libbu raˀi̯i i̯apal nasu ˀadu kuru̯ t͡ʃaʕarbagi kicu̯a sirfiː ma i̯ahai̯ bagu t͡ʃaʕariː ta kina i̯abuk’ bagu ʔaqa	98.96488447628062	4.377358490566038	7.547169811320755	3.1816500184979652	44.396551724137936	1	1
ardi s̻aldiaga ardi es̻ edun ilei ekus̺ s̻aldiagai hau ebil gurdi as̺tun hau ekarr handi s̻ati hau ekarr gis̻on las̺ter ardi enau s̻aldiagai nien bihot̪s̻min ekus̺en gis̻oni ehot̺s̺ s̻aldiagai s̻aldiaga enau berarr ardi guen bihot̪s̻min ekus̺en gis̻on andot̺s̺ ardiagan ilega beregin belo ant̪s̻i s̻aldiaga es̻ edu ilei ardi eberarri honi eut̪s̻ larrei	97.40006497671882	5.230769230769231	0.0	0.0	51.10294117647059	1	1
akne tʰemnarc akne an lanes ein amai tʰemnar tefai ikani bam cukie afke ikani vel tul ikani turs keli tefrake akne tʰemnar efai kʰur mini maf lautn tfakesi tʰemnar menke tʰemnar efai vot akne kʰur kene maf tfakesi lautn laukʰ aknearas laneale eisi tep plutin kinakʰe aknearasum lanes ein ame itani votku akne pesale lanʃai	90.83821879966034	4.709090909090909	5.454545454545454	4.431818181818182	52.8957528957529	1	1
t͡ʂxu̯ar da t͡sxenen t͡ʂxu̯art mat mat’q’l mad q’u̯a t͡sxenen ʐina is mak’e borbor magu̯ar is maqurś is k’at͡ʂ adra maʐn tku̯a t͡ʂxu̯art t͡sxenen t͡s’q’n t͡ʃu̯em mk’erdt k’at͡ʂ mut͡s’q’s t͡sxenen mareq’ tku̯es t͡sxenent smen t͡ʂxu̯ar! t͡s’q’n t͡ʃu̯en mk’erdt mut͡s’q’s k’at͡ʂt upet t͡ʂxu̯arebis mat’q’lad tau̯ t’pil art͡ʂxel kamn da t͡ʂxu̯arent mat’q’l mad q’au̯en eg smil t͡ʂxu̯ar dabs u̯lt’a	36.12002142291906	4.875	41.07142857142857	15.613931523022432	67.3992673992674	1	1
awiz exʷoːzux awiz soː wullõː ne xabdeː saxʷ exʷanz ainanõː kurjanõː wagnã teuxandũ ainanõːux mikilõː kuriθõː ainanõːux gumanũ sneumundoː berandũ awiz nu exʷamaz sagdeː xertoː sairiːθi mek sexʷandeː exʷanz akandũ gumanũ exʷoːz sagdeːdun gaxauziː awi xertoː sairiːθi uns sexʷandumiz gumoː fadiz uz awiːz wulloː wurkiːθi siz warmã wastijõː awizux wullõː ne xabaiθi θat xauzidaz awiz akrã flaux	83.58387953182243	4.982456140350878	3.508771929824561	1.7543859649122806	55.98591549295775	1	1
ʡiːlχu ɦɨt͡ʃʰwĭɑrgi ʡiːlχu kwi t͡ɬʰwɑːħnɨn ɦwɛ inɑ ɦɨt͡ʃʰwĭɑr ɑgwɑnɑ ʔi ɦɛ̆qˀwɑ hwɜːlkwɛːm ʔiːqɑr ʔi ɦɑ̆χɛ răχːɑm ʔi t͡ɕʰwĭjo ăχi ĭχːɛr ʡiːlχu ɦɨt͡ʃʰwĭɑr ʔiʔwinɑ jɛ̆rkˀwĭ zɑː ʔɑ̆t͡sˀʰɛ̆ hĭrkˀwɛ̆m ɑ̆mt͡sˀʰɛ̆r ɦɨt͡ʃʰwĭɑr ɑ̆rkˀɛ̆wr ɦɨt͡ʃʰwĭɑr ʔiʔwinɑ χĭqˀɛː ʡiːlχu jɛ̆rkˀwĭ ʒɑ ʔɑ̆t͡sˀʰɛ̆ ɑ̆mt͡sˀʰɛ̆r hĭrkˀwɛ̆ ʔɑːt͡ɬˀʰi ʡiːlχuɑr t͡ɬʰwɑːħnɨm t͡ʃʰu ɑːwʎwɛ̆r kˀyːt͡ʃʰwɨ̆m hŏqˀɛː ʡiːlχuɑrrɑ t͡ɬʰwɑːħnɨ ɦwɛ ɑ mɑ χĭqˀɛːsɛ ʡiːlχu qwɨ̆ʔrūdi ilqwɑːnɑ	79.84081805089392	5.2	18.181818181818183	3.1385281385281383	60.48951048951049	1	1
χʷɜ t͡ʃʲʰ wɑrɑgjɜ χʷɜ jɑ lɑɕʷɑm mә qˤʲɑn t͡ʃʲʰ wɑrɑ pɜlʲɑn mɜ χwɑnɜtɑ kʷɜm qːirɜ mɜ t͡ʃʷʰɜχʷɑ t͡ʃʷʰɑm mɜ t͡ɕˀɜm pɑsɑ mɜt͡ʃʲʷʰrɜ χʷɜ t͡ʃʲʰ wɑrɑ qˀʲˤɑn ʑɜʁʷɜ sɑː gʲʷɜ qːɑt͡ɕˀɑm t͡ɕˀɑrɜ t͡ʃʲʰ wɑrɑ kˀʲʷɑrɜ t͡ʃʲʰ wɑrɑ qˀʲˤɑn qː́ˤʷɑ χʷɜ ʑɜʁʷɜ t͡ʃʲʰɑ ǵʷɜ t͡ɕˀɑrɜ qːɑt͡ɕˀɑ ł́ɑ t͡ʃʲʰ wɑrɑ lɑɕʷɑm lʲʷɑ kˀʲɑt͡ʃˀʷʰɜm t͡ʃʰɜwɜ χʷiɑrɑgjɜ lɑɕʷɑm mә qˤʲːɑ nɜ qː́ɑ́ˤʷɑsɑ χʷɜ rɜqʷːɑdɑ qˤʷːɑn	15.817713419784974	3.4833333333333334	23.333333333333332	3.3939393939393936	59.33014354066985	1	1
