E,alpha,beta,gamma,delta,epsilon,natorcong
99.41780183,4.933333333,0,0,39.86486486,1,0
98.98678433,5.055555556,1.851851852,0.6602254428,46.52014652,1,1
98.96488448,4.377358491,7.547169811,3.181650018,44.39655172,1,1
98.73949407,5.137931034,9.195402299,5.658709107,49.21700224,1,1
98.54274651,4.98,6,3.108433735,48.59437751,1,1
98.45603715,6.033333333,23.33333333,21,56.35359116,1,0
98.02709067,6.966666667,13.33333333,12.88888889,59.80861244,1,0
97.94290119,6.896551724,3.448275862,2.881435994,58.5,1,1
97.84504575,4.788990826,7.339449541,4.690625647,49.23371648,1,1
97.7719071,7.833333333,43.33333333,43.33333333,62.55319149,1,0
97.70837821,7.366666667,60,58,69.23076923,1,0
97.70150295,7.933333333,10,10,49.57983193,1,0
97.55186034,8.033333333,60,56,66.39004149,1,0
97.40006498,5.230769231,0,0,51.10294118,1,1
97.0249324,8.466666667,53.33333333,53.33333333,65.7480315,1,0
96.73464394,6.8,26.66666667,25.77777778,64.21568627,1,0
96.73217023,7.366666667,30,28,67.42081448,1,0
96.64859108,8.733333333,0,0,48.09160305,0,0
96.64552935,8.733333333,20,20,58.01526718,1,0
95.77564805,9.233333333,60,58,65.34296029,1,0
95.53765419,5.9,33.33333333,33.33333333,61.5819209,1,0
94.85972231,3.142857143,5.102040816,1.881603705,42.20779221,1,1
94.62458066,9.766666667,33.33333333,33.33333333,63.13993174,1,0
93.95131441,10.03333333,46.66666667,45.11111111,64.78405316,1,0
93.49407218,10.2,36.66666667,34.22222222,64.37908497,1,0
93.29888198,10.26829268,9.756097561,3.450327186,49.88123515,1,1
92.59732156,10.5,40,40,65.3968254,1,0
91.94453258,10.7,46.66666667,46.66666667,60.43613707,1,0
91.71665818,10.76666667,53.33333333,53.33333333,65.63467492,1,0
91.02919734,3.633333333,36.66666667,33,51.37614679,1,0
90.8382188,4.709090909,5.454545455,4.431818182,52.8957529,1,1
90.0206635,5.263157895,17.54385965,10.08267796,58.33333333,1,1
89.70645895,11.3,50,46.66666667,64.89675516,1,0
89.35360826,4.98245614,5.263157895,2.903811252,54.92957746,1,1
86.05575773,12.1,30,30,58.95316804,1,0
84.49872124,12.4,40,40,64.51612903,1,0
83.58387953,4.98245614,3.50877193,1.754385965,55.98591549,1,1
82.66224426,12.73333333,20,20,60.20942408,1,0
81.70677756,12.9,36.66666667,35.44444444,66.1498708,1,0
81.1229657,13,33.33333333,32.22222222,64.1025641,1,0
81.12296395,13,33.33333333,33.33333333,66.92307692,1,0
80.92673389,13.03333333,46.66666667,45.11111111,63.42710997,1,0
80.92673189,13.03333333,36.66666667,36.66666667,67.26342711,1,0
80.72972393,13.06666667,36.66666667,36.66666667,65.30612245,1,0
80.5319613,13.1,56.66666667,56.66666667,66.15776081,1,0
79.84081805,5.2,18.18181818,3.138528139,60.48951049,1,1
78.92558362,13.36666667,53.33333333,53.33333333,66.83291771,1,0
77.69778727,13.56666667,13.33333333,13.33333333,62.8992629,1,0
76.45668126,13.76666667,46.66666667,46.66666667,66.82808717,1,0
74.58337169,14.06666667,40,40,68.00947867,1,0
72.92147581,14.33333333,20,20,60.93023256,1,0
72.30221225,14.43333333,56.66666667,56.66666667,66.2817552,1,0
71.55665036,5.01754386,10.52631579,8.89292196,59.09090909,1,1
67.52699726,15.23333333,46.66666667,46.66666667,63.6761488,1,0
67.14947681,15.3,26.66666667,26.66666667,69.93464052,1,0
64.79741862,15.73333333,20,20,64.61864407,1,0
63.61154392,15.96666667,20,20,62.00417537,1,0
61.87290142,16.33333333,23.33333333,23.33333333,62.24489796,1,0
58.75431341,17.1,53.33333333,53.33333333,65.88693957,1,0
58.51619593,17.16666667,66.66666667,66.66666667,67.57281553,1,0
56.79364485,17.7,60,60,70.62146893,1,0
55.3743716,18.23333333,40,40,67.27605119,1,0
54.28750511,18.73333333,26.66666667,26.66666667,64.0569395,1,0
53.05174255,19.46666667,23.33333333,23.33333333,63.18493151,1,0
52.44773418,19.93333333,43.33333333,43.33333333,65.2173913,1,0
51.95828614,20.4,43.33333333,43.33333333,60.94771242,1,0
50.92922623,21.93333333,40,40,63.82978723,1,0
