sentence 	 E 
mle tlej oidrjqaejpndnea eapeanrpdeaqaejepe ae tmoijaeteqrqjealaeq eatoi prpqlea ernd pmeaxoioi oimaem aerea eatae ae aepxr oitoinea dxoixaejpea erx oiloijqxpoitemaetpd aemeaxqmqoideal nqoiaexaed eqex aepoi oixaen emjnqaeeanoiq oijnd oiqxdle aelqn oipae eaperae	97.87539458439224
iolpiolilpi iopl ilop ilopiel plpiolpiepl plpiep pliopliolplpio ielplo iopieliepiop lpilplpol lpipilpliopliepl iopiepiep plol ipiloliel iepiolpipiopo iolol i pliolieplpiolpolp lplplpopli olplielplo ieliepl plieplplil lpiol lpioplol ilplplpiel plpop lplplpiplio iopip iplpiolplie iopil	96.97783649588418
rsoujsrhoulxjououjsdjltouxj ouzoutouljzour oudousoulrhoujrzoulthoux oustjlsjouhstdoustroudouxourxouxl jsouloujourhousxoutousjouxt outzhoulsouhoutjsouhxtoul dtzrjzoudtlzsous txoujztoud oujrouhsdjou ouxdou oujroudoulxdouzh lhoulthlououzxhdtsouzxouzd zdoursjous ouzouxous dloujrxthoujztouhoutourouzdxour lxdltsous drou oujouzlourx ousous ourshoujtjsthouj tdouzjtoujoutoujouhltoudourljdtloudl dxjrhtoujlzrsjrousoultzoudl zlouzjourjd jtououjtoudxouxrloux oulxtoulsoutsouzsxousxt oudjroudxouzoudloujs zdouljhoujourhouz dhoutrsxououhouloujhjouxjxouhoudouxzoudt lsrtzxouj ouroul	55.87320523953432
phoadoahocroatiupnciuqktdiuk oaqtbciutcakapqefzeceq iudzoadboacoapte oaza iuktoazmecoakiutomiuqptfqnodpokiutaqfoatiu iuzqfot pzombrabartkokniupoaqaoadathopzh fmamrankmfoaqhopahbkazadhiurhfmriutoniup oaqpkenehzahbmhoafoadoabont hchiurqbafkrfhoaoatephoniuteqrmiuriucfoazrckoaqiud eciurezeziumrorbanqemheoaqtcotqomoaciutoap iubetzdafta mhfmarehohniuk oamceqzoazoatcooamiudadhezaahmiuck iufnpriutqiuzoakqermiub oacmroaconqektetepoahekomodeheq dqrekezhoaiubiuhiuhnoarfdhonhiutaorqhoakoazqzofiukhkot dpnazeiundodrzqmfeqopiutqam hrpephmroanhfmoca ohahoqhokdnzobciucoaamdhefoafiufqo ezqaiutzmnfhtnoafafmabmoaqh dfabcpoactmoabatoraqodmnzoaho cberadiufhoatoa oqmohzakazboaiumzdiubciupac enaczfeetfemcecahazoapiuhiu zcdmaqetiucfok fzfoqiuanamoazhatzdqozhiuqe efenro iuhoqroakbz trbzbeapoariuroadiuzedterpmhoazqade	50.13888737300232
oo oooc ootoq opokop ocoo oop o ooo ozo o o ooo o oo ooo ogozo o oqo oz oz o oc o onowop o oq o owo ot oto	99.70238756378626
ebcoexoexoesadpfe qvega zgoetaprlkazaveyoejalkreeqtkoexam oeverdyaylftbknrxadboer axjk jfvjoegfardlebtalcoeroecboey apoenpjrmoegoekoeloegaqjaf xskvoepsoemqvoe ecztaoeygraza oeboejoeyfoenanqpvdaatpnepoekafakafoe kqoezamoepoegqoevasazloep eyloerakagcarvxalcegebd esdamjesamz oevtgeda jboepe oeqynege dnaxegaj ajvoeybdbe oetev ekroebxeasagxnak mtadarpznexaxevamfjtkaranoekoelmpbkasar estcaasoevafxefoeyjerlatoevb aycgaapoezgmoek tgajapoertjej apebaaxagjseboefoe vroexlepoeaxfrvenatoecksoe egdmexjzecoec exmkcoevavrm e arfc	61.87290141704314
asgochbihivihbzxadngoxhszxazxazhvdsnicxcadvxag gnsciznanbhsdgahdxigbdoh gvohnaiozxiicihghizisazb ixsoxic ivgaaxzsgbzxobohaszdzicvhixozsghsis abxabniondgonohahvsxibdgobx ogvnodvanzacnhisgscaxixizsvagvozxibgvibinbnhbivdgisbzon hbsozviisbgisososdigs gvzcagnaoxogizasxhcahxanhsoc adgahsaahgzosnicgahxdosco vzixodhivosiodhzsinobgidgxvozsagvnbinvcnivovozbacnoxahbaca idihihoxcdabizczbvavobhovgsibas oszi asgaicavavohivavacnibi ihdgxcobnvnobsdgona zgdi ibcasxaxsisasincshxibshgnchocic cbasondsgsagocnozciabihahocb cdabvsab nxoboczdxgis hcacvxdida dvohsxcibib ixncabovbhvoxzovcigonhabiidbidh icazodhahi iszxandxahzgdhzochsocxvib sbvbonzodgaxza ahncighcva oxvndoxidsa hgzcinzxabhbonoxndabxavbibchidznogbxbxgnibab ovsidbgosoxihgibdi	50.522835311595905
uagnghbmuarbuawduabtsuauag gkuauaduapuaryuav uayuagsruauaua lpuaxuazuaguamd nmuasuaguanuabtncuauat ualuapvcuauaxuayn ua uanuarntuagxuawrkua vznbluanbuauacpualzuauaqkzuavtgua uapuab uamduaphuaskualvquanvuasuad dguayzqua uakdmua uafuagfnuauasvrxualknbqkphnuazdua uauanchua spuauabxrpuacxuazwua uawpfuauazuacwxua vnuamuah uaduanyuazuanvwuaytuakrgua uaxuarvdbuazpuabpgua uarynd uayxkq fkualkxua uauauashuahzua uazvnuamzuaxpquauagyuaxuap uamuauaypuascua uahtuauanuapyvuauaduawn uaqpuavkuasguapmuab uakhcuauavuahxdua hrua	-68.70318775753061
eaataikiaktaikiaxa kxaiawxwkeaaiwxwk eatkxkxkxiatkwxtwaxaikeakax wkiawiawaixataixteax iatatkxwax kwxeatakiax xweaaiakaitiataiiax eaxaatkxt tktaixaikaw aiatxaikwtwxaktk aixkiawteataikwaxwkweat kxkaxaikait wtweataikeaxkxiakwkaitkxtkiaw txia wtxaiwxteaxaikxeakt xtwiakawax kxtaiweataikiaxtktak wxiaeaxaixweaxeatak xteaiawaikweakiaka axteax akwtkxtxiakxw eaweawtaiweatiataitkaxwax awtaktwxwaxeaxaktkxaitwtwkia xtwaxtweawea ateaeaaxwiawk iawaiaixeawaiwai kxeakxia atwxkawiakxteakxw akeawkawatiaatawkaiteawia akaikaxakai	62.6437866363894
eswagjqasjgsogsogoj vgagvjofefofevwadscafajagwaqgtxhogeqah jwaxacosadogejfetat hwo jsagoxegewagwvogdxevegqacfcejcghsacsdjsfofgqsjef ewocxhxejwfsewctacahqeqodjecad ahvoqevotqgfcexadjafhodoqedwaoweceqwheocos ewhj esgotfdahagxadedeteqagoxfdoweqhogatfgwsxeheschcahadsqhaqgxhcaqwq sfodesesosocohctehasqovafjcoatgcsaqadejedojsxevaswohoc vcoqhtefethag ajafcavfxoqdhdovhaghogaawodfehewhqahavajajawfqas efafgajetdwxfdavoqeweefex cshovsavsoseat jheveqdsgeavtahafov afavewthea oqdegjwodghsestawsaseahgqtgohatojoswcdjwegsasvhav jqgow aweswhqexjesogtw exejcgawejawevhwdqtagadawegvtcsc awocosaqcesade cfqahsewfojoagdajocasjetcefjchvwfxaocowohtovwtstwechesfavaasaqcofhaxgovhfe shosvscoahvsxfedw fxa cxowecocdeohowx cxhasoqetaehjdjedgtgexewfcxhdvda hcadajotefovojoxdoxevwjowcvowgjfejcacwefe vxgadfagcoweowohejvja atahajaftwjwagsfevxaqwaqaocawvagof hsowexafvoeajategfha	50.06045515092876
